index	word	idf	weight
749	168	6.72194	0.29534536
750	1680	8.80871	-0.23133562
751	168cm	7.85319	1.24853448
752	169	7.59536	0.33962519
753	169mb	9.28106	-1.00596228
754	16cm	8.74050	-1.11886290
755	16g	8.48918	-0.62790330
756	16gb	7.89477	-0.58102746
757	16k	7.75010	0.93380768
758	16kb	9.42272	0.48334176
759	16mb	9.31953	0.69435263
760	16mm	10.11586	0.53320976
761	16p	7.01499	2.31278635
762	16px	9.12422	-0.12930539
763	16pｋｏｕ９７	8.61663	0.00110370
764	16万	8.51516	-0.83288405
765	16世纪	8.90755	0.01145413
766	16个	7.29552	0.59066358
767	16元	9.35954	-0.32222281
768	16年	7.77489	-1.76293220
769	16日	5.29138	-3.19110578
770	16楼	8.67665	-0.11767348
771	16次	9.17382	-0.01739540
772	17	4.00507	0.71669282
773	170	6.35466	1.02887910
774	1700	8.09230	-0.65932751
775	17000	9.35954	-0.32393188
776	170cm	8.26092	0.07191917
777	170万	8.65624	0.10037122
778	171	7.91382	1.16543391
779	171888	9.53778	0.09679927
780	172	6.85110	1.43176153
781	17299	9.61377	0.09863045
782	172cm	8.66639	2.12047187
783	173	7.68301	-0.63635848
784	174	7.19223	1.80902186
785	1741	8.89465	0.05325532
786	1744	9.01725	0.01359711
787	174888	9.61377	0.08984458
788	174b	8.31688	0.04385974
789	175	6.67768	-0.61685918
790	1752	9.06170	-0.09131159
791	1756048078	7.88538	0.48835910
792	175b	9.07697	0.06712191
793	175cm	9.01725	-0.13548945
794	176	7.52126	2.36255174
795	176b	8.64619	0.12064253
796	177	7.89950	0.00841376
797	177234	9.51369	0.11161106
798	177288	9.44469	0.13332795
799	178	7.36803	1.41169463
800	178008	9.66784	0.09289099
801	178cm	9.01725	0.10832547
802	179	8.11556	-0.60195097
803	1794	9.44469	0.70669539
804	17cm	9.04666	0.42257568
805	17g	8.93387	-0.51493723
806	17gb	9.24402	0.28839392
807	17kb	9.35954	0.37779061
808	17mb	8.61663	0.20413415
809	17p	8.24741	0.97324950
810	17万	8.97469	-0.74236394
811	17个	7.91382	-0.75472259
812	17号	8.16376	-1.24014182
813	17岁	6.54205	-0.69336556
814	17年	8.10386	-1.31693351
815	17日	5.58795	-3.57950975
816	17次	9.42272	-0.28171934
817	18	3.46682	0.61327914
818	180	5.83198	-2.85333013
819	1800	7.58493	0.35077191
820	18000	9.06170	-0.05962921
821	1800万	8.58792	0.46155940
822	1800元	8.84464	-0.83809207
823	180cm	9.58780	-0.37897597
824	180px	8.88191	-1.81326955
825	180万	8.88191	-0.52327089
826	180元	8.98868	-0.23927805
827	180天	9.88406	-0.18131974
828	181	7.93815	-0.47721347
829	18116	9.61377	0.09863045
830	182	6.93239	1.47135688
831	18274	9.66784	0.10142199
832	182b	9.26237	0.08559678
833	183	7.43127	1.65048324
834	1831	9.00286	-0.04269198
835	184	7.72193	1.40721583
836	184b	8.30260	0.28754392
837	184bytes	8.79701	0.00692988
838	185	7.19927	1.41503996
839	18528	9.61377	0.09832787
840	186	8.00961	-1.83085847
841	1860	9.95552	0.52771596
842	1861	9.61377	0.60407226
